category,scenario,seed,success,episode_length,return,target_moves,obstacle_moves,successful_pushes,final_target_distance,final_obstacle_blocking
iid,iid_stage6,100153,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100154,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100155,0,200,-1.7000000000000013,0,5,5,7,0
iid,iid_stage6,100156,0,200,-1.7000000000000013,0,6,6,7,0
iid,iid_stage6,100157,0,200,-1.6000000000000012,2,0,2,5,3
iid,iid_stage6,100158,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100159,0,200,-2.0000000000000013,0,2,2,7,3
iid,iid_stage6,100160,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100161,0,200,-2.0000000000000013,0,1,1,7,3
iid,iid_stage6,100162,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100163,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100164,0,200,-1.7000000000000013,0,8,8,7,0
iid,iid_stage6,100165,0,200,-1.7000000000000013,0,8,8,7,0
iid,iid_stage6,100166,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100167,0,200,-1.6000000000000012,2,0,2,5,3
iid,iid_stage6,100168,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100169,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100170,0,200,-1.7000000000000013,0,8,8,7,0
iid,iid_stage6,100171,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100172,0,200,-1.7000000000000013,0,7,7,7,0
iid,iid_stage6,100173,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100174,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100175,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100176,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100177,0,200,-1.7000000000000013,0,8,8,7,0
iid,iid_stage6,100178,0,200,-1.7000000000000013,0,5,5,7,0
iid,iid_stage6,100179,0,200,-1.7000000000000013,0,6,6,7,0
iid,iid_stage6,100180,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100181,0,200,-1.7000000000000013,0,6,6,7,0
iid,iid_stage6,100182,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100183,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100184,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100185,0,200,-2.0000000000000013,0,2,2,7,3
iid,iid_stage6,100186,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100187,0,200,-1.7000000000000013,0,6,6,7,0
iid,iid_stage6,100188,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100189,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100190,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100191,0,200,-1.7000000000000013,0,6,6,7,0
iid,iid_stage6,100192,0,200,-2.0000000000000013,0,2,2,7,3
iid,iid_stage6,100193,0,200,-1.9000000000000015,0,3,3,7,2
iid,iid_stage6,100194,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100195,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100196,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100197,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100198,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100199,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100200,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100201,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100202,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100203,0,200,-2.0000000000000013,0,2,2,7,3
iid,iid_stage6,100204,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100205,0,200,-1.7000000000000013,0,6,6,7,0
iid,iid_stage6,100206,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100207,0,200,-1.7000000000000013,0,7,7,7,0
iid,iid_stage6,100208,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100209,0,200,-1.7000000000000013,0,6,6,7,0
iid,iid_stage6,100210,0,200,-1.7000000000000013,0,4,4,7,0
iid,iid_stage6,100211,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100212,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100213,0,200,-2.0000000000000013,0,0,0,7,3
iid,iid_stage6,100214,0,200,-2.0000000000000013,0,0,0,7,3
